location_id,location_name,category,latitude,longitude,source
2595949839,,ferry_terminal,26.1933156,91.7516921,OpenStreetMap/Geofabrik North-Eastern Zone
2595949845,,ferry_terminal,26.1959383,91.7452022,OpenStreetMap/Geofabrik North-Eastern Zone
2665437088,Bishalgarh,railway_station,23.6766774,91.2728164,OpenStreetMap/Geofabrik North-Eastern Zone
2665458458,Goreswar,railway_station,26.5279198,91.722188,OpenStreetMap/Geofabrik North-Eastern Zone
2665458472,Khandikar,railway_station,26.4655849,91.6458978,OpenStreetMap/Geofabrik North-Eastern Zone
2665458597,Harisinga,railway_station,26.7252841,91.9865809,OpenStreetMap/Geofabrik North-Eastern Zone
2665528108,NST Bus Station,bus_station,26.3241814,94.5213309,OpenStreetMap/Geofabrik North-Eastern Zone
2669094329,Guwahati,railway_station,26.1823701,91.7501234,OpenStreetMap/Geofabrik North-Eastern Zone
2671296500,Dibrugarh,railway_station,27.4647373,94.9371639,OpenStreetMap/Geofabrik North-Eastern Zone
2671658260,গঙ্গাসাগর,railway_station,23.8261502,91.193755,OpenStreetMap/Geofabrik North-Eastern Zone
2689538357,Jogendranagar,railway_station,23.8114171,91.3074081,OpenStreetMap/Geofabrik North-Eastern Zone
2885039366,Tihu,railway_station,26.4716298,91.2682154,OpenStreetMap/Geofabrik North-Eastern Zone
2885091539,Jagi Road,railway_station,26.1254384,92.1973032,OpenStreetMap/Geofabrik North-Eastern Zone
2885091555,Sonuabari,railway_station,26.1732313,92.3114617,OpenStreetMap/Geofabrik North-Eastern Zone
2885091569,Thekeraguri,railway_station,26.2061133,92.434601,OpenStreetMap/Geofabrik North-Eastern Zone
2885092718,,ferry_terminal,26.407355,92.232907,OpenStreetMap/Geofabrik North-Eastern Zone
2885143622,,ferry_terminal,27.5914059,95.3235222,OpenStreetMap/Geofabrik North-Eastern Zone
2885250561,Simen Chapori,railway_station,27.723845,94.8868742,OpenStreetMap/Geofabrik North-Eastern Zone
2885275506,Kamalabari Ghat,ferry_terminal,26.9198444,94.1642878,OpenStreetMap/Geofabrik North-Eastern Zone
2885275517,,ferry_terminal,26.9100184,94.2773858,OpenStreetMap/Geofabrik North-Eastern Zone
2913304439,Gogamukh,railway_station,27.4417161,94.3212387,OpenStreetMap/Geofabrik North-Eastern Zone
3011847711,Sairang,railway_station,23.7981904,92.6512294,OpenStreetMap/Geofabrik North-Eastern Zone
3158896790,,ferry_terminal,24.8452933,92.8134665,OpenStreetMap/Geofabrik North-Eastern Zone
3224653102,Gumto,railway_station,27.1369868,93.791461,OpenStreetMap/Geofabrik North-Eastern Zone
3281558055,Longai,railway_station,24.8544306,92.3433549,OpenStreetMap/Geofabrik North-Eastern Zone
3281638676,Sekerkote,railway_station,23.7436934,91.2773921,OpenStreetMap/Geofabrik North-Eastern Zone
3281652396,Bairabi,railway_station,24.1960499,92.5412872,OpenStreetMap/Geofabrik North-Eastern Zone
3337653201,Kathalpukhari,railway_station,27.176593,93.9711292,OpenStreetMap/Geofabrik North-Eastern Zone
3422982364,Hilara,railway_station,24.9419816,92.6028609,OpenStreetMap/Geofabrik North-Eastern Zone
3546843597,ASTC Bus Stand,bus_station,27.825574,95.2278445,OpenStreetMap/Geofabrik North-Eastern Zone
3547039788,Laimekuri,railway_station,27.7507684,95.0760932,OpenStreetMap/Geofabrik North-Eastern Zone
3547327331,Telem,railway_station,27.7660461,95.0038982,OpenStreetMap/Geofabrik North-Eastern Zone
3555169044,ASTC Bus Station,bus_station,26.6209126,92.7943959,OpenStreetMap/Geofabrik North-Eastern Zone
3555172843,,bus_station,26.6233153,92.7901634,OpenStreetMap/Geofabrik North-Eastern Zone
3555219587,Simen Chapori,railway_station,27.7237427,94.8869276,OpenStreetMap/Geofabrik North-Eastern Zone
3684324222,Dhalpukhuri,railway_station,25.9598593,92.90648,OpenStreetMap/Geofabrik North-Eastern Zone
3684324223,Habaipur,railway_station,25.8714739,92.985367,OpenStreetMap/Geofabrik North-Eastern Zone
