node_id,latitude,longitude
77,26.1610521,91.9352624
78,26.255904,92.0162514
79,26.2042999,91.858341
80,26.1784861,91.8293513
81,26.1823759,91.837256
82,26.1870227,91.8428673
83,26.1844797,91.6668072
84,26.20099,91.6453369
85,26.1810867,91.6800361
86,26.1832481,91.6712558
87,26.1832668,91.6719564
88,26.1897743,91.6711503
89,26.1990383,91.5583787
90,26.187049,91.7108509
91,26.1576138,91.673761
92,26.1519547,91.6504558
93,26.1587539,91.6888436
94,26.1577198,91.6736528
95,26.1590721,91.6937658
96,26.1144012,91.7257172
97,26.115709,91.7191967
98,26.1187245,91.8189446
99,26.1118245,91.741977
100,26.1192011,91.8225961
101,26.1192737,91.8222539
102,26.1196538,91.8251292
103,26.1035003,91.8635559
104,26.123741,91.8179288
105,26.0859072,91.7893608
106,26.1018515,91.7975536
107,26.0992938,91.8022115
108,26.1019748,91.7973991
109,26.1021675,91.8022777
110,26.1024245,91.8041009
111,26.1003314,91.8095092
112,26.1235053,91.7992978
113,26.1235252,91.7987032
114,26.123314,91.8003965
115,26.1292023,91.8014976
116,26.1476906,91.7876441
117,26.1626631,91.7711037
118,26.1811064,91.7496831
119,26.1232409,91.7484663
120,26.2480352,91.7826285
121,26.2479474,91.7832359
122,26.2631753,91.824058
123,26.2481959,91.782032
124,26.250806,91.7827073
125,26.2443435,91.7543881
126,26.2382906,91.751812
127,26.2433388,91.7508385
128,26.2407389,91.7380043
129,26.2433165,91.751157
130,26.2164642,91.7362056
131,26.2198432,91.729962
132,26.2021102,91.729556
133,26.1980966,91.7156368
134,26.2235776,91.7261597
135,26.9534109,94.572178
136,27.1181471,94.8537831
137,27.233394,94.8876408
138,27.3123381,94.8818739
139,27.3061986,94.8983107
140,26.9965235,94.6448292
141,27.1274686,94.7398619
142,27.0529318,94.6785665
143,27.0541634,94.6786332
144,26.9817138,94.5803547
145,26.9831513,94.5795367
146,27.3825961,94.8703149
147,26.5812137,92.9958732
148,26.6310918,93.7317722
149,26.6309429,93.7279916
150,26.6616883,93.8486481
151,26.5896396,93.401231
152,26.5772216,93.0827606
153,26.5739867,93.17695
154,26.3458192,92.7189123
155,26.3480568,92.6837918
156,26.366043,92.7877754
157,26.3250555,92.6561487
158,26.1662551,92.3533763
159,26.2277433,92.5120711
160,26.6279348,92.7969968
161,26.3192605,90.4705577
162,26.517181,92.147294
163,26.6433853,92.1701209
164,26.6988425,92.3305535
165,26.6533434,92.7957751
166,26.3485492,91.8175514
167,26.3472113,91.7534968
168,26.7120817,92.2053677
169,26.6999393,92.3359434
170,26.6996845,92.3347855
171,26.7070164,92.5418973
172,26.6750281,92.6868774
173,26.897966,92.809619
174,26.7065515,92.5431821
175,26.7035102,92.449722
176,26.6885125,92.6260489
177,26.687614,92.6276461
178,26.5440837,92.9143253
179,26.6536196,92.7731828
180,27.0854032,92.5829009
181,26.6275655,92.7897875
182,26.6274366,92.7852762
183,27.2651986,92.4159724
184,27.261432,92.41414
185,26.6431989,92.8342791
186,26.6117358,92.8534948
187,26.1294771,91.8106606
188,26.1518574,91.7830342
189,26.1197697,91.8222537
190,26.120462,91.8219992
191,25.4037904,91.7731841
192,25.2840682,91.7163592
193,25.2823991,91.7256899
194,25.2434938,91.7316301
195,25.285833,91.720228
196,25.452753,91.8205897
197,25.6108493,91.8738704
198,25.5780981,91.8764901
199,24.5085012,92.7700819
200,24.7291412,92.7195165
201,24.7994184,92.792016
202,24.8057298,92.79453
203,24.8061369,92.7948533
204,24.8060264,92.7946848
205,24.7620522,92.8296434
206,24.8643382,92.3685103
207,24.4295131,92.2464765
208,24.8574884,92.490482
209,24.8293416,92.6343558
210,24.665803,92.8617508
211,24.5838155,92.8397134
212,24.5314282,92.8237162
213,24.5678571,92.3059158
214,24.6043148,92.3191773
215,24.7466873,92.3531381
216,25.9808532,93.7581122
217,25.9444593,93.7275383
218,26.349304,93.858737
219,26.169637,93.795731
220,26.2800015,93.8522706
221,26.3916489,93.879336
222,26.414388,93.896744
223,26.444142,93.910013
224,26.48706,93.923939
225,26.5523074,93.8282796
226,26.5862054,93.7520263
227,27.0635863,88.4287707
228,27.2288395,88.3008494
229,27.2894249,88.2585093
230,27.082301,88.4265328
231,27.1332454,88.2784607
232,27.0909905,88.4035352
233,27.096059,88.3864931
234,27.10033,88.360972
235,27.101712,88.358007
236,27.1108693,88.3424999
237,27.1249235,88.3196349
238,27.1274888,88.2936941
239,27.1333998,88.2778571
240,27.1726628,88.2944416
241,27.1888459,88.3262025
242,27.0846204,88.4432566
243,27.0854943,88.4538225
244,27.2797522,88.2753194
245,27.248381,88.300737
246,27.270288,88.286853
247,27.1329988,88.2794429
248,27.3142194,88.1863865
249,27.3137555,88.1866004
250,27.3458711,88.2909928
251,27.0863647,88.4512206
